It took 1.1185 seconds to compute the Mandelbrot set
It took 0.2712 seconds to dump the image to a file
         1255714 function calls (1235126 primitive calls) in 1.924 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      644    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:124(setdefault)
        1    0.000    0.000    0.003    0.003 table.py:1(<module>)
      501    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:155(_path_is_mode_type)
     7567    0.003    0.000    0.003    0.000 {method 'expandtabs' of 'str' objects}
        7    0.000    0.000    0.003    0.000 _backend_tk.py:776(_set_image_for_button)
       24    0.000    0.000    0.003    0.000 typing.py:1446(__or__)
        1    0.001    0.001    0.003    0.003 pickle.py:1(<module>)
       16    0.000    0.000    0.003    0.000 ImageTk.py:171(paste)
        2    0.000    0.000    0.003    0.002 ElementTree.py:1(<module>)
        5    0.000    0.000    0.003    0.001 __init__.py:2833(__init__)
       64    0.000    0.000    0.003    0.000 deprecation.py:414(make_keyword_only)
       22    0.000    0.000    0.003    0.000 typing.py:2979(_make_nmtuple)
1201/1125    0.000    0.000    0.003    0.000 {built-in method builtins.next}
        1    0.000    0.000    0.003    0.003 _mathtext.py:1(<module>)
      644    0.001    0.000    0.003    0.000 enum.py:354(__setitem__)
   306/12    0.000    0.000    0.003    0.000 core.py:810(_parseNoCache)
        1    0.000    0.000    0.003    0.003 font_manager.py:1625(_load_fontmanager)
        2    0.000    0.000    0.003    0.001 axis.py:2223(_get_tick_boxes_siblings)
    72/12    0.000    0.000    0.003    0.000 core.py:4127(parseImpl)
        4    0.000    0.000    0.003    0.001 axis.py:534(__get__)
       16    0.000    0.000    0.003    0.000 ImageTk.py:54(_pyimagingtkcall)
    85/30    0.000    0.000    0.003    0.000 typing.py:1483(_determine_new_args)
        1    0.000    0.000    0.003    0.003 cm.py:32(_gen_cmap_registry)
        1    0.000    0.000    0.003    0.003 font_manager.py:1030(json_load)
        1    0.000    0.000    0.003    0.003 _secondary_axes.py:1(<module>)
        1    0.000    0.000    0.003    0.003 __init__.py:274(load)
      689    0.001    0.000    0.003    0.000 functools.py:36(update_wrapper)
    85/30    0.001    0.000    0.003    0.000 typing.py:1512(_make_substitution)
        1    0.000    0.000    0.003    0.003 colors.py:717(__call__)
        1    0.000    0.000    0.003    0.003 __init__.py:299(loads)
        1    0.001    0.001    0.003    0.003 colors.py:745(_get_rgba_and_mask)
        1    0.000    0.000    0.003    0.003 decoder.py:340(decode)
        1    0.001    0.001    0.003    0.003 decoder.py:351(raw_decode)
      450    0.003    0.000    0.003    0.000 {method 'read' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.003    0.003 legend.py:1(<module>)
       10    0.000    0.000    0.003    0.000 core.py:5780(__init__)
      269    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:463(_lock_unlock_module)
      230    0.001    0.000    0.003    0.000 overrides.py:85(verify_matching_signatures)
      459    0.001    0.000    0.003    0.000 typing.py:173(_type_check)
     30/9    0.000    0.000    0.002    0.000 core.py:4662(leave_whitespace)
        1    0.000    0.000    0.002    0.002 _internal.py:1(<module>)
      719    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1500(_path_importer_cache)
        3    0.000    0.000    0.002    0.001 exceptions.py:1(<module>)
      670    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:632(cached)
     2754    0.000    0.000    0.002    0.000 <frozen abc>:117(__instancecheck__)
    20567    0.002    0.000    0.002    0.000 {method 'get' of 'dict' objects}
      461    0.000    0.000    0.002    0.000 core.py:523(copy)
      779    0.001    0.000    0.002    0.000 copy.py:248(_reconstruct)
        2    0.000    0.000    0.002    0.001 version.py:1(<module>)
        1    0.000    0.000    0.002    0.002 axis.py:2438(_update_label_position)
      355    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:642(_get_cached)
     7654    0.002    0.000    0.002    0.000 _parser.py:167(__getitem__)
     3809    0.001    0.000    0.002    0.000 __init__.py:781(__getitem__)
      113    0.000    0.000    0.002    0.000 rcsetup.py:99(f)
  394/375    0.000    0.000    0.002    0.000 contextlib.py:136(__enter__)
        1    0.000    0.000    0.002    0.002 axis.py:2665(_update_label_position)
        1    0.000    0.000    0.002    0.002 parse.py:1(<module>)
        1    0.000    0.000    0.002    0.002 tempfile.py:1(<module>)
       39    0.000    0.000    0.002    0.000 colors.py:1081(from_list)
        1    0.000    0.000    0.002    0.002 backend_tools.py:1(<module>)
       51    0.000    0.000    0.002    0.000 text.py:157(_reset_visual_defaults)
        1    0.000    0.000    0.002    0.002 _local.py:1(<module>)
        1    0.000    0.000    0.002    0.002 __init__.py:2293(wm_iconphoto)
       40    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1326(exec_module)
    33075    0.002    0.000    0.002    0.000 {built-in method builtins.callable}
       40    0.002    0.000    0.002    0.000 {built-in method _imp.exec_dynamic}
      215    0.001    0.000    0.002    0.000 _compiler.py:514(_compile_info)
     62/9    0.000    0.000    0.002    0.000 core.py:3884(leave_whitespace)
